candidate,advzip_iterations,baseline_zip_bytes,candidate_zip_bytes,zip_delta_bytes,terser_input_characters,roadroller_prepared_characters,abbreviations
baseline,10,13316,13316,0,40876,37191,let this return Math length
decimal-leading-zero,10,13316,13332,16,41019,37333,let this return Math length
decimal-exponents-expanded,10,13316,13317,1,40900,37215,let this return Math length
decimal-all-canonical,10,13316,13325,9,41043,37357,let this return Math length
integer-hex,10,13316,13411,95,41378,37693,let this return Math length
integer-scientific,10,13316,13360,44,40898,37213,let this return Math length
strings-single,10,13316,13318,2,40876,37191,let this return Math length
strings-double,10,13316,13316,0,40876,37191,let this return Math length
strings-templates,10,13316,13339,23,40876,37191,let this return Math length
templates-strings,10,13316,13316,0,40876,37191,let this return Math length
arrow-parentheses,10,13316,13315,-1,41214,37529,let this return Math length
undefined-literal,10,13316,13320,4,40882,37197,let this return Math length
negative-one-complement,10,13316,13332,16,40876,37191,let this return Math length
top-var-let,10,13316,13347,31,40876,36706,let this return Math length
top-var-const,10,13316,13371,55,41144,37224,let this return const Math
literal-comparisons-right,10,13316,13334,18,40924,37239,let this return Math length
property-brackets-all,10,13316,13475,159,47512,43775,let this return Math var
property-brackets-xy,10,13316,13347,31,41635,37950,let this return Math length
property-brackets-length,10,13316,13362,46,41092,37355,let this return Math var
numeric-key-quotes,10,13316,13316,0,40876,37191,let this return Math length
semicolons-newlines,10,13316,13351,35,40876,37190,let this return Math length
printer-identity,10,13316,13316,0,40876,37191,let this return Math length
join-let,10,13316,13391,75,39948,36957,this return let Math length
join-var,10,13316,13365,49,40249,36564,let this return Math length
join-declarations,10,13316,13407,91,39321,36330,this return let Math length
return-parentheses,10,13316,13326,10,41078,37392,let this return Math length
arrow-return-block,10,13316,13360,44,42865,37854,return let this Math length
branch-braces,10,13316,13330,14,40962,37271,let this return Math length
literal-comparisons-minimal,10,13316,13324,8,40876,37191,let this return Math length
bracket-floor,10,13316,13327,11,40912,37227,let this return Math length
bracket-round,10,13316,13331,15,40912,37227,let this return Math length
bracket-sin,10,13316,13335,19,40912,37227,let this return Math length
bracket-cos,10,13316,13330,14,40903,37218,let this return Math length
bracket-random,10,13316,13358,42,40948,37263,let this return Math length
bracket-map,10,13316,13343,27,41266,37581,let this return Math length
bracket-push,10,13316,13365,49,40969,37284,let this return Math length
bracket-x,10,13316,13419,103,41251,37566,let this return Math length
bracket-y,10,13316,13403,87,41260,37575,let this return Math length
bracket-width,10,13316,13337,21,40915,37230,let this return Math length
bracket-height,10,13316,13334,18,40909,37224,let this return Math length
bracket-value,10,13316,13322,6,40882,37197,let this return Math length
parenthesize-numbers,10,13316,13400,84,43551,39863,let this return Math length
number-property-keys,10,13316,13298,-18,42202,38465,let this return Math var
semicolons-extra,10,13316,13350,34,41141,37456,let this return Math length
parenthesize-conditions,10,13316,13376,60,41154,37469,let this return Math length
keys-short,10,13316,13327,11,41504,37819,let this return Math length
keys-long,10,13316,13336,20,41574,37837,let this return Math var
keys-length,10,13316,13356,40,40904,37167,let this return Math var
keys-except-length,10,13316,13276,-40,42174,38489,let this return Math length
keys-single,10,13316,13305,-11,42202,38465,let this return Math var
keys-plus-arrow,10,13316,13293,-23,42540,38803,let this return Math var
keys-plus-exponents,10,13316,13294,-22,42226,38489,let this return Math var
keys-plus-comparisons,10,13316,13300,-16,42202,38465,let this return Math var
keys-plus-zero,10,13316,13334,18,42345,38607,let this return Math var
printer-quote-keys,10,13316,13305,-11,42291,38554,let this return Math var
printer-quote-keys-single,10,13316,13306,-10,42291,38554,let this return Math var
printer-quote-keys-keep,10,13316,13305,-11,42291,38554,let this return Math var
keys-plus-strings-template,10,13316,13321,5,42202,38465,let this return Math var
baseline,6000,13312,13312,0,40876,37191,let this return Math length
decimal-exponents-expanded,6000,13312,13312,0,40900,37215,let this return Math length
arrow-parentheses,6000,13312,13309,-3,41214,37529,let this return Math length
number-property-keys,6000,13312,13295,-17,42202,38465,let this return Math var
keep-length-arrow,10,13316,13276,-40,42512,38827,let this return Math length
keep-length-exponents,10,13316,13295,-21,42198,38513,let this return Math length
keep-length-comparisons,10,13316,13280,-36,42174,38489,let this return Math length
keep-length-strings-single,10,13316,13277,-39,42174,38489,let this return Math length
keep-length-strings-templates,10,13316,13295,-21,42174,38489,let this return Math length
keep-length-returns,10,13316,13284,-32,42376,38690,let this return Math length
keep-length-semicolons,10,13316,13351,35,40876,37190,let this return Math length
keep-length-arrow-exponents,10,13316,13269,-47,42536,38851,let this return Math length
keep-length-except-xy,10,13316,13278,-38,41992,38307,let this return Math length
keep-length-except-model,10,13316,13307,-9,42158,38473,let this return Math length
keep-length-single,10,13316,13283,-33,42174,38489,let this return Math length
keys-except-length,6000,13312,13271,-41,42174,38489,let this return Math length
keep-length-arrow,6000,13312,13271,-41,42512,38827,let this return Math length
keep-length-strings-single,6000,13312,13274,-38,42174,38489,let this return Math length
keep-length-arrow-exponents,6000,13312,13264,-48,42536,38851,let this return Math length
